,lat,log,county
595,18.0108,-66.0172,Patillas
596,18.01082,-66.633087,Ponce
597,18.0109,-66.0174,Patillas
598,18.01094,-66.613615,Ponce
599,18.01094,-66.613615,Ponce
600,18.011052,-66.613382,Ponce
601,18.0111,-66.5888,Ponce
602,18.011139,-66.608974,Ponce
603,18.011139,-66.608974,Ponce
604,18.01116,-66.63736,Ponce
605,18.011434,-66.638081,Ponce
606,18.011441,-66.637407,Ponce
607,18.01165,-66.614418,Ponce
608,18.01165,-66.614418,Ponce
609,18.01165,-66.614418,Ponce
610,18.01165,-66.614418,Ponce
611,18.011669,-65.930428,Maunabo
612,18.011669,-65.930428,Maunabo
613,18.01172,-66.61192,Ponce
614,18.011777,-66.581405,Ponce
615,18.011777,-66.614286,Ponce
616,18.01178,-66.6199,Ponce
617,18.01178,-66.6199,Ponce
618,18.011842,-66.614054,Ponce
619,18.01193,-66.00296,Patillas
620,18.011955,-66.191575,Guayama
621,18.011962,-66.6136,Ponce
622,18.012,-66.63321,Ponce
623,18.012005,-66.611253,Ponce
624,18.012037,-66.63315,Ponce
625,18.0121,-66.0556,Arroyo
626,18.012123,-66.784039,Guayanilla
627,18.01213,-66.61322,Ponce
628,18.012174,-66.614053,Ponce
629,18.01228,-66.62265,Ponce
630,18.01228,-66.62265,Ponce
631,18.01228,-66.62265,Ponce
632,18.01228,-66.62265,Ponce
633,18.01228,-66.62265,Ponce
634,18.01228,-66.62265,Ponce
635,18.01228,-66.62265,Ponce
636,18.01228,-66.62265,Ponce
637,18.01228,-66.62265,Ponce
638,18.01228,-66.62265,Ponce
639,18.01228,-66.62265,Ponce
640,18.01228,-66.62265,Ponce
641,18.01228,-66.62265,Ponce
642,18.01228,-66.62265,Ponce
643,18.01228,-66.62265,Ponce
644,18.01228,-66.62265,Ponce
645,18.012288,-66.581138,Ponce
646,18.01231,-66.20731,Salinas
647,18.012392,-66.059515,Arroyo
648,18.0125,-66.06579,Arroyo
649,18.012524,-66.63808,Ponce
650,18.012548,-66.611107,Ponce
651,18.012606,-66.610802,Ponce
652,18.012615,-66.1189,Guayama
653,18.01271,-66.20752,Salinas
654,18.01278,-66.60667,Ponce
655,18.012888,-66.612668,Ponce
656,18.01302,-66.20591,Salinas
657,18.013153,-66.875886,Guánica
658,18.01322,-66.634446,Ponce
659,18.01328,-66.62253,Ponce
660,18.01328,-66.62253,Ponce
661,18.01328,-66.62253,Ponce
662,18.01328,-66.62253,Ponce
663,18.01328,-66.62253,Ponce
664,18.01328,-66.62253,Ponce
665,18.01328,-66.62253,Ponce
666,18.01328,-66.62253,Ponce
667,18.01328,-66.62253,Ponce
668,18.01328,-66.62253,Ponce
669,18.01328,-66.62253,Ponce
670,18.01328,-66.62253,Ponce
671,18.01328,-66.62253,Ponce
672,18.01328,-66.62253,Ponce
673,18.01328,-66.62253,Ponce
674,18.01328,-66.62253,Ponce
675,18.01329,-66.62299,Ponce
676,18.01356,-66.61123,Ponce
677,18.01356,-66.61123,Ponce
678,18.01356,-66.62495,Ponce
679,18.01356,-66.62495,Ponce
680,18.01356,-66.62495,Ponce
681,18.013841,-66.643131,Ponce
682,18.01388,-66.60907,Ponce
683,18.01388,-66.60907,Ponce
684,18.01392,-66.65381,Ponce
685,18.014015,-65.90444,Maunabo
686,18.014015,-65.90444,Maunabo
687,18.014062,-66.785242,Guayanilla
688,18.01411,-66.64284,Ponce
689,18.01413,-66.60844,Ponce
690,18.01413,-66.60844,Ponce
691,18.01413,-66.60844,Ponce
692,18.01413,-66.60844,Ponce
693,18.014311,-66.419474,Santa Isabel
694,18.01454,-66.6089,Ponce
695,18.01471,-66.60897,Ponce
696,18.01484,-66.65356,Ponce
697,18.014932,-65.91554,Maunabo
698,18.01504,-66.5954,Ponce
699,18.015095,-65.90794,Maunabo
700,18.015095,-65.90794,Maunabo
701,18.01519,-66.59624,Ponce
702,18.015204,-66.609224,Ponce
703,18.01527,-66.59274,Ponce
704,18.01577,-66.78889,Guayanilla
705,18.01621,-66.62889,Ponce
706,18.016284,-66.789449,Guayanilla
707,18.016295,-66.113855,Guayama
