,id,caption,diseno,ncValue,address,lat,log,value4,nombre_pw,costo,costo1,costo2,costo3,municipio,tragedia,sector,categoria,tamano,date,406_408,day,month,year,municipio_new,icon
0,107107,54551 Rafael Aparicio Jiménez Bldg. 1,Construcción,N/A,"CALLE RODULFO GONZALEZ FINAL, Adjuntas, Puerto Rico, 00601",18.160975,-66.721365,EDOE048 54551 - Rafael Aparicio Jiménez  (YELLOW TAG- ADJUNTAS- PRDE),PA-02-PR-4473-PW-00153,64219,57797,57797,6422,Departamento de Educación de PR,Terremoto (4473),Educaci�n,Categoría E - Edificios y equipo,Pequeño,15/03/2022,,15,3,2022,Adjuntas,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
2,107107,54551 Rafael Aparicio Jiménez Bldg. 5,Construcción,N/A," CALLE RODULFO GONZALEZ FINAL, Adjuntas, Puerto Rico, 00601",18.160975,-66.721365,EDOE048 54551 - Rafael Aparicio Jiménez  (YELLOW TAG- ADJUNTAS- PRDE),PA-02-PR-4473-PW-00153,64219,57797,57797,6422,Departamento de Educación de PR,Terremoto (4473),Educaci�n,Categoría E - Edificios y equipo,Pequeño,15/03/2022,,15,3,2022,Adjuntas,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
4,107107,54551 Rafael Aparicio Jiménez Bldg. 2,Construcción,N/A," CALLE RODULFO GONZALEZ FINAL, Adjuntas, Puerto Rico, 00601",18.160975,-66.721365,EDOE048 54551 - Rafael Aparicio Jiménez  (YELLOW TAG- ADJUNTAS- PRDE),PA-02-PR-4473-PW-00153,64219,57797,57797,6422,Departamento de Educación de PR,Terremoto (4473),Educaci�n,Categoría E - Edificios y equipo,Pequeño,15/03/2022,,15,3,2022,Adjuntas,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
6,107107,UPR Aguadilla Edificio 632 Admisiones Servicios Médicos,Construcción,0,,18.49873,-67.13688,MUPR128 Aguadilla PH Group 04,PA-02-PR-4339-PW-09724,3567381,3210643,0,356738,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,14/01/2022,Proyecto 428,14,1,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
8,107107,UPR Aguadilla Edificio 633 Departamento de Administración de Empresas,Construcción,35,,18.49878,-67.13614,MUPR127 Aguadilla PH Group 03,PA-02-PR-4339-PW-09034,1287390,1158651,0,128739,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,7/12/21,Proyecto 428,7,12,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
10,107107,UPR Aguadilla Edificio 620 Departamendo de Inglés Ciencias Sociales,Construcción,0,,18.49931,-67.13461,"UPR, Aguadilla-Edif. 612 Department of Natural Sciences(Aguadilla)",PA-02-PR-4339-PW-08284,4143338,3729004,0,414334,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,4/5/21,Proyecto 428,4,5,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
12,107107,UPR Aguadilla Edificio 772 Edificio Seguridad,Construcción,0,,18.49977,-67.13427,MUPR129 Aguadilla Site,PA-02-PR-4339-PW-08868,782112,703901,0,78211,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,"Categoría G - Parques, instalaciones recreativas y otros",Grande,8/7/21,Proyecto 428,8,7,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
14,107107,UPR Aguadilla General Contents Data,Construcción,55,,18.49887,-67.13702,MUPR226 Aguadilla Building Contents,PA-02-PR-4339-PW-08901,151252,136127,0,15125,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,8/6/21,Proyecto 428,8,6,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
16,107107,UPR Aguadilla Edificio 254 Oficinas Senado Académico,Construcción,35,,18.50079,-67.13483,"UPR, Aguadilla-Edif. 769 Bibl. Enrique A. Laguerre (Aguadilla)",PA-02-PR-4339-PW-07644,3438993,3095094,0,343899,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,19/02/2021,Proyecto 428,19,2,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
18,107107,UPR Aguadilla Edificio 705 Centro de Estudiantes,Construcción,0,,18.49986,-67.13644,MUPR127 Aguadilla PH Group 03,PA-02-PR-4339-PW-09034,1287390,1158651,0,128739,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,7/12/21,Proyecto 428,7,12,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
20,107107,UPR Mayaguez EEA Finca la Montaña - Edificio 919 Área de Cepo,Construcción,N/A,,18.47052,-67.1154,MUPR302 Mayaguez EEA Finca la Montaña 02,PA-02-PR-4339-PW-09128,35587,32028,32028,3559,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,5/8/21,Proyecto 428,5,8,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
22,107107,UPR Aguadilla E-444 Site Eléctrico,Construcción,40,,18.49996,-67.1343,MUPR129 Aguadilla Site,PA-02-PR-4339-PW-08868,782112,703901,0,78211,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,"Categoría G - Parques, instalaciones recreativas y otros",Grande,8/7/21,Proyecto 428,8,7,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
24,107107,UPR Aguadilla Edificio 263 Departamento de Humanidades,Construcción,0,,18.49971,-67.13359,MUPR128 Aguadilla PH Group 04,PA-02-PR-4339-PW-09724,3567381,3210643,0,356738,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,14/01/2022,Proyecto 428,14,1,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
26,107107,Building No. 1 Main,Adquisición de diseño,,,18.48576,-67.09702,Paraíso Infantil School (Multiple) (Aguadilla),PA-02-PR-4339-PW-06492,1548216,1393394,354388,154822,"Paraíso Infantil, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,21/11/2022,Proyecto 428,21,11,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
28,107107,School Contents,Adquisición de diseño,,,18.48588,-67.09707,Paraíso Infantil School (Multiple) (Aguadilla),PA-02-PR-4339-PW-06492,1548216,1393394,354388,154822,"Paraíso Infantil, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,21/11/2022,Proyecto 428,21,11,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
30,107107,Building No. 4 Library,Adquisición de diseño,,,18.48581,-67.09723,Paraíso Infantil School (Multiple) (Aguadilla),PA-02-PR-4339-PW-06492,1548216,1393394,354388,154822,"Paraíso Infantil, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,21/11/2022,Proyecto 428,21,11,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
32,107107,Aguadilla,Completado,,,18.467716,-67.122847,MIAU 024 Aguadilla Campus,PA-02-PR-4339-PW-10920,20969,18872,18872,2097,"Universidad Interamericana de Puerto Rico, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,6/12/22,Proyecto 406,6,12,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
34,107107,Building No. 3 ICM Modular,Adquisición de diseño,,,18.48596,-67.09715,Paraíso Infantil School (Multiple) (Aguadilla),PA-02-PR-4339-PW-06492,1548216,1393394,354388,154822,"Paraíso Infantil, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,21/11/2022,Proyecto 428,21,11,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
36,107107,Building No. 8 Gazebo,Adquisición de diseño,,,18.48589,-67.09735,Paraíso Infantil School (Multiple) (Aguadilla),PA-02-PR-4339-PW-06492,1548216,1393394,354388,154822,"Paraíso Infantil, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,21/11/2022,Proyecto 428,21,11,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
38,107107,Site,Adquisición de diseño,,,18.48588,-67.09707,Paraíso Infantil School (Multiple) (Aguadilla),PA-02-PR-4339-PW-06492,1548216,1393394,354388,154822,"Paraíso Infantil, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,21/11/2022,Proyecto 428,21,11,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
40,107107,Building No. 2  ICM Modular,Adquisición de diseño,,,18.48596,-67.09707,Paraíso Infantil School (Multiple) (Aguadilla),PA-02-PR-4339-PW-06492,1548216,1393394,354388,154822,"Paraíso Infantil, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,21/11/2022,Proyecto 428,21,11,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
42,107107,Building No. 7 Modular,Adquisición de diseño,,,18.48597,-67.09699,Paraíso Infantil School (Multiple) (Aguadilla),PA-02-PR-4339-PW-06492,1548216,1393394,354388,154822,"Paraíso Infantil, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,21/11/2022,Proyecto 428,21,11,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
44,107107,UPR Aguadilla Edificio 612 Departamento de Ciencias Naturales,Construcción,5,,18.49876,-67.13513,"UPR, Aguadilla-Edif. 612 Department of Natural Sciences(Aguadilla)",PA-02-PR-4339-PW-08284,4143338,3729004,0,414334,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,4/5/21,Proyecto 428,4,5,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
46,107107,UPR Aguadilla Edificio 711 Centro Atlético,Construcción,5,,18.49955,-67.13773,MUPR127 Aguadilla PH Group 03,PA-02-PR-4339-PW-09034,1287390,1158651,0,128739,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,7/12/21,Proyecto 428,7,12,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
48,107107,UPR Aguadilla Edificio 252 Oficina de Rectoría,Construcción,0,,18.50107,-67.13513,MUPR128 Aguadilla PH Group 04,PA-02-PR-4339-PW-09724,3567381,3210643,0,356738,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,14/01/2022,Proyecto 428,14,1,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
50,107107,Building No. 5 Agriculture,Adquisición de construcción,,,18.48571,-67.09756,Agriculture Bldg. (Aguadilla),PA-02-PR-4339-PW-02678,1480653,1332588,117000,148065,"Paraíso Infantil, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,12/1/22,Proyecto 428,12,1,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
52,107107,UPR Arecibo Edificio 033 Almacén de Refrigeración,Adquisición de diseño,,,18.46982,-66.74172,MUPR133 Arecibo PH Group 01 ,PA-02-PR-4339-PW-08239,15342690,13808421,0,1534269,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,18/08/2021,Proyecto 428,18,8,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
54,107107,Basketball Court 1,Diseño,90,"Bo. Bajadero, Arecibo, Puerto Rico, 00616",18.43614,-66.681942,Arecibo Baseball Academy(Arecibo),PA-02-PR-4339-PW-02115,2353616,2118254,67500,235362,"Arecibo Baseball Academy, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,23/06/2020,Proyecto 428,23,6,2020,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
56,107107,Building 2 - Classroom 2 & 3,Diseño,90,"Bo. Bajadero, Arecibo, Puerto Rico, 00616",18.43614,-66.681942,MABA005 - Classroom Buildings - Prudent Replacement Analysis,PA-02-PR-4339-PW-06064,569086,512177,0,56909,"Arecibo Baseball Academy, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,6/4/21,Proyecto 428,6,4,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
58,107107,UPR Arecibo Edificio 024 Edificio Ala Central,Adquisición de diseño,,,18.46878,-66.74189,MUPR133 Arecibo PH Group 01 ,PA-02-PR-4339-PW-08239,15342690,13808421,0,1534269,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,18/08/2021,Proyecto 428,18,8,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
60,107107,UPR Arecibo Edificio 005 Edificio Central,Adquisición de diseño,,,18.46912,-66.7414,MUPR133 Arecibo PH Group 01 ,PA-02-PR-4339-PW-08239,15342690,13808421,0,1534269,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,18/08/2021,Proyecto 428,18,8,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
62,107107,UPR Arecibo Edificio 021 Edificio Ala Este,Adquisición de diseño,,,18.46869,-66.74138,MUPR133 Arecibo PH Group 01 ,PA-02-PR-4339-PW-08239,15342690,13808421,0,1534269,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,18/08/2021,Proyecto 428,18,8,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
64,107107,UPR Arecibo Edificio 022 Edificio Ala Norte,Adquisición de diseño,,,18.46977,-66.7418,MUPR133 Arecibo PH Group 01 ,PA-02-PR-4339-PW-08239,15342690,13808421,0,1534269,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,18/08/2021,Proyecto 428,18,8,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
66,107107,Building 1.1 - Main - Content,Diseño,90,"Bo. Bajadero, Arecibo, Puerto Rico, 00616",18.43614,-66.681942,Arecibo Baseball Academy(Arecibo),PA-02-PR-4339-PW-02115,2353616,2118254,67500,235362,"Arecibo Baseball Academy, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,23/06/2020,Proyecto 428,23,6,2020,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
68,107107,Building 4 - Dining Room,Diseño,90,"Bo. Bajadero, Arecibo, Puerto Rico, 00616",18.43614,-66.681942,Arecibo Baseball Academy(Arecibo),PA-02-PR-4339-PW-02115,2353616,2118254,67500,235362,"Arecibo Baseball Academy, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,23/06/2020,Proyecto 428,23,6,2020,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
70,107107,School Parking Lot Repairs 100% Completed,Completado,,"Carr. #2 Interior # 638, Km 1.0 , Arecibo, Puerto Rico, 00616",18.436048,-66.682218,MABA007 - School Parking Lot,PA-02-PR-4339-PW-08499,75000,67500,67500,7500,"Arecibo Baseball Academy, Inc.",Huracán María (4339),Educaci�n,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,25/03/2021,Proyecto 428,25,3,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
72,107107,Building 1 - Main,Diseño,90,"Bo. Bajadero, Arecibo, Puerto Rico, 00616",18.43614,-66.681942,Arecibo Baseball Academy(Arecibo),PA-02-PR-4339-PW-02115,2353616,2118254,67500,235362,"Arecibo Baseball Academy, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,23/06/2020,Proyecto 428,23,6,2020,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
74,107107,Gazebo 1,Diseño,90,"Bo. Bajadero, Arecibo, Puerto Rico, 00616",18.43614,-66.681942,Arecibo Baseball Academy(Arecibo),PA-02-PR-4339-PW-02115,2353616,2118254,67500,235362,"Arecibo Baseball Academy, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,23/06/2020,Proyecto 428,23,6,2020,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
76,107107,Building 3 - Classroom 4 & 5,Diseño,90,"Bo. Bajadero, Arecibo, Puerto Rico, 00616",18.43614,-66.681942,MABA005 - Classroom Buildings - Prudent Replacement Analysis,PA-02-PR-4339-PW-06064,569086,512177,0,56909,"Arecibo Baseball Academy, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,6/4/21,Proyecto 428,6,4,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
78,107107,Contents - Instituto Pre-Vocacional e Industrial de Puerto Rico Inc.,Diseño,25,,18.47107,-66.71468,MIPI003 - Main Building and Contents,PA-02-PR-4339-PW-08790,4657384,4191646,1195351,465738,Instituto Pre-Vocacional e Industrial de PR,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,18/08/2021,Proyecto 428,18,8,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
80,107107,Trailer #1,Completado,,,18.3794,-66.68781,MIPI005 - Centro Envejecientes Mis Queridos Viejos (Site 4),PA-02-PR-4339-PW-07667,53136,47822,47822,5314,Instituto Pre-Vocacional e Industrial de PR,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,26/02/2021,Proyecto 428,26,2,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
82,107107,Academic Building C - ARECIBO CAMPUS,Adquisición de construcción,,"Carr. #2 Km. 80.4 Bo. San Daniel Sector Las Canelas, Arecibo, Puerto Rico, 00614",18.475287,-66.758299,MIAU 003 Arecibo Campus,PA-02-PR-4339-PW-11055,7056,6350,6350,706,"Universidad Interamericana de Puerto Rico, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,13/12/2022,Proyecto 428,13,12,2022,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
84,107107,Student Success Building - ARECIBO CAMPUS,Adquisición de construcción,,"Carr. #2 Km. 80.4 Bo. San Daniel Sector Las Canelas, Arecibo, Puerto Rico, 00614",18.475633,-66.75983,MIAU 003 Arecibo Campus,PA-02-PR-4339-PW-11055,7056,6350,6350,706,"Universidad Interamericana de Puerto Rico, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,13/12/2022,Proyecto 428,13,12,2022,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
86,107107,Gazebo (Centro Envejecientes Mis Queridos Viejos - Site 4),Completado,,"Carr. 10, Km. 75.6, Arecibo, Puerto Rico, 00612",18.47325,-66.75657,MIPI005 - Centro Envejecientes Mis Queridos Viejos (Site 4),PA-02-PR-4339-PW-07667,53136,47822,47822,5314,Instituto Pre-Vocacional e Industrial de PR,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,26/02/2021,Proyecto 428,26,2,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
88,107107,CAPROMUNI contents,Completado,,,18.426318,-66.71377,MIPI004 - CAPROMUNI Building Contents (Arecibo) ,PA-02-PR-4339-PW-08702,79350,71415,71415,7935,Instituto Pre-Vocacional e Industrial de PR,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,13/09/2021,Proyecto 406,13,9,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
90,107107,Chancellors Residence - ARECIBO CAMPUS,Adquisición de construcción,,"Carr. #2 Km. 80.4 Bo. San Daniel Sector Las Canelas, Arecibo, Puerto Rico, 00614",18.473746,-66.762124,MIAU 003 Arecibo Campus,PA-02-PR-4339-PW-11055,7056,6350,6350,706,"Universidad Interamericana de Puerto Rico, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,13/12/2022,Proyecto 428,13,12,2022,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
92,107107,Centro Envejecientes Mis Queridos Viejos (Site 4),Completado,,"Carr. 10, Km. 75.6, Hato Viejo, Arecibo, Puerto Rico, 00612",18.379404,-66.68781,MIPI005 - Centro Envejecientes Mis Queridos Viejos (Site 4),PA-02-PR-4339-PW-07667,53136,47822,47822,5314,Instituto Pre-Vocacional e Industrial de PR,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,26/02/2021,Proyecto 428,26,2,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
94,107107,Trailer #2,Completado,,,18.3794,-66.68781,MIPI005 - Centro Envejecientes Mis Queridos Viejos (Site 4),PA-02-PR-4339-PW-07667,53136,47822,47822,5314,Instituto Pre-Vocacional e Industrial de PR,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,26/02/2021,Proyecto 428,26,2,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
96,107107,Academic Building E and Annex- ARECIBO CAMPUS,Adquisición de construcción,,"Carr. #2 Km. 80.4 Bo. San Daniel Sector Las Canelas, Arecibo, Puerto Rico, 00614",18.475805,-66.758325,MIAU 003 Arecibo Campus,PA-02-PR-4339-PW-11055,7056,6350,6350,706,"Universidad Interamericana de Puerto Rico, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,13/12/2022,Proyecto 428,13,12,2022,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
98,107107,Administration Building - ARECIBO CAMPUS,Adquisición de construcción,,"Carr.#2 KM. 80.4 Bo. San Daniel Sector Las Canelas , Arecibo, Puerto Rico, 00614",18.475109,-66.759531,MIAU 003 Arecibo Campus,PA-02-PR-4339-PW-11055,7056,6350,6350,706,"Universidad Interamericana de Puerto Rico, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,13/12/2022,Proyecto 428,13,12,2022,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
100,107107,Main Building - Instituto Pre-Vocacional e Industrial de Puerto Rico Inc. Oficina,Permisología - Solicitada,,"#68 Calle Puro girau, Arecibo, Puerto Rico, 00612",18.471052,-66.714767,MIPI003 - Main Building and Contents,PA-02-PR-4339-PW-08790,4657384,4191646,1195351,465738,Instituto Pre-Vocacional e Industrial de PR,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,18/08/2021,Proyecto 428,18,8,2021,Arecibo,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
102,107107,EDIN Building - BARRANQUITAS CAMPUS,Completado,,"Bo. Helechal Carr.# 156 Int. 719, Barranquitas, Puerto Rico, 00794",18.183857,-66.302608,MIAU 023 Barranquitas PH Buildings,PA-02-PR-4339-PW-09647,16768,15091,15091,1677,"Universidad Interamericana de Puerto Rico, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,1/2/22,Proyecto 428,1,2,2022,Barranquitas,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
104,107107,Health Sciences Building - BARRANQUITAS CAMPUS,Completado,,"Bo. Helechal Carr. 156 Int. 719, Barranquitas, Puerto Rico, 00794",18.181558,-66.303738,MIAU 023 Barranquitas PH Buildings,PA-02-PR-4339-PW-09647,16768,15091,15091,1677,"Universidad Interamericana de Puerto Rico, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,1/2/22,Proyecto 428,1,2,2022,Barranquitas,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
106,107107,Institute of Sustainable Biotechnology Building - Barranquitas Campus,Completado,,"Bo. Helechal Carr. 156 Int. 719, Barranquitas, Puerto Rico, 00794",18.182722,-66.302064,MIAU 006 Barranquitas Campus,PA-02-PR-4339-PW-09689,82961,74665,74665,8296,"Universidad Interamericana de Puerto Rico, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,10/5/22,Proyecto 428,10,5,2022,Barranquitas,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
108,107107,Administration Building - Barranquitas Campus,Completado,,"Bo. Helechal Carr. 156 Int. 719, Barranquitas, Puerto Rico, 00794",18.183576,-66.303873,MIAU 023 Barranquitas PH Buildings,PA-02-PR-4339-PW-09647,16768,15091,15091,1677,"Universidad Interamericana de Puerto Rico, Inc.",Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Pequeño,1/2/22,Proyecto 428,1,2,2022,Barranquitas,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
